ZK00000008;KRS000001;TK/2025/0001;2025-01-01;16:00;Tabela kursowa nr 1
ZK00000004;KRS000002;TK/2025/0002;2025-01-02;00:00;Tabela kursowa nr 2
ZK00000008;KRS000003;TK/2025/0003;2025-01-02;08:00;Tabela kursowa nr 3
ZK00000006;KRS000004;TK/2025/0004;2025-01-02;16:00;Tabela kursowa nr 4
ZK00000004;KRS000005;TK/2025/0005;2025-01-03;00:00;Tabela kursowa nr 5
ZK00000001;KRS000006;TK/2025/0006;2025-01-03;08:00;Tabela kursowa nr 6
ZK00000001;KRS000007;TK/2025/0007;2025-01-03;16:00;Tabela kursowa nr 7
ZK00000002;KRS000008;TK/2025/0008;2025-01-04;00:00;Tabela kursowa nr 8
ZK00000002;KRS000009;TK/2025/0009;2025-01-04;08:00;Tabela kursowa nr 9
ZK00000010;KRS000010;TK/2025/0010;2025-01-04;16:00;Tabela kursowa nr 10
ZK00000008;KRS000011;TK/2025/0011;2025-01-05;00:00;Tabela kursowa nr 11
ZK00000003;KRS000012;TK/2025/0012;2025-01-05;08:00;Tabela kursowa nr 12
ZK00000002;KRS000013;TK/2025/0013;2025-01-05;16:00;Tabela kursowa nr 13
ZK00000009;KRS000014;TK/2025/0014;2025-01-06;00:00;Tabela kursowa nr 14
ZK00000002;KRS000015;TK/2025/0015;2025-01-06;08:00;Tabela kursowa nr 15
ZK00000002;KRS000016;TK/2025/0016;2025-01-06;16:00;Tabela kursowa nr 16
ZK00000005;KRS000017;TK/2025/0017;2025-01-07;00:00;Tabela kursowa nr 17
ZK00000004;KRS000018;TK/2025/0018;2025-01-07;08:00;Tabela kursowa nr 18
ZK00000008;KRS000019;TK/2025/0019;2025-01-07;16:00;Tabela kursowa nr 19
ZK00000005;KRS000020;TK/2025/0020;2025-01-08;00:00;Tabela kursowa nr 20
ZK00000005;KRS000021;TK/2025/0021;2025-01-08;08:00;Tabela kursowa nr 21
ZK00000008;KRS000022;TK/2025/0022;2025-01-08;16:00;Tabela kursowa nr 22
ZK00000001;KRS000023;TK/2025/0023;2025-01-09;00:00;Tabela kursowa nr 23
ZK00000002;KRS000024;TK/2025/0024;2025-01-09;08:00;Tabela kursowa nr 24
ZK00000003;KRS000025;TK/2025/0025;2025-01-09;16:00;Tabela kursowa nr 25
ZK00000001;KRS000026;TK/2025/0026;2025-01-10;00:00;Tabela kursowa nr 26
ZK00000005;KRS000027;TK/2025/0027;2025-01-10;08:00;Tabela kursowa nr 27
ZK00000006;KRS000028;TK/2025/0028;2025-01-10;16:00;Tabela kursowa nr 28
ZK00000006;KRS000029;TK/2025/0029;2025-01-11;00:00;Tabela kursowa nr 29
ZK00000007;KRS000030;TK/2025/0030;2025-01-11;08:00;Tabela kursowa nr 30
ZK00000002;KRS000031;TK/2025/0031;2025-01-11;16:00;Tabela kursowa nr 31
ZK00000002;KRS000032;TK/2025/0032;2025-01-12;00:00;Tabela kursowa nr 32
ZK00000001;KRS000033;TK/2025/0033;2025-01-12;08:00;Tabela kursowa nr 33
ZK00000001;KRS000034;TK/2025/0034;2025-01-12;16:00;Tabela kursowa nr 34
ZK00000003;KRS000035;TK/2025/0035;2025-01-13;00:00;Tabela kursowa nr 35
ZK00000003;KRS000036;TK/2025/0036;2025-01-13;08:00;Tabela kursowa nr 36
ZK00000006;KRS000037;TK/2025/0037;2025-01-13;16:00;Tabela kursowa nr 37
ZK00000006;KRS000038;TK/2025/0038;2025-01-14;00:00;Tabela kursowa nr 38
ZK00000008;KRS000039;TK/2025/0039;2025-01-14;08:00;Tabela kursowa nr 39
ZK00000010;KRS000040;TK/2025/0040;2025-01-14;16:00;Tabela kursowa nr 40
ZK00000005;KRS000041;TK/2025/0041;2025-01-15;00:00;Tabela kursowa nr 41
ZK00000002;KRS000042;TK/2025/0042;2025-01-15;08:00;Tabela kursowa nr 42
ZK00000006;KRS000043;TK/2025/0043;2025-01-15;16:00;Tabela kursowa nr 43
ZK00000006;KRS000044;TK/2025/0044;2025-01-16;00:00;Tabela kursowa nr 44
ZK00000003;KRS000045;TK/2025/0045;2025-01-16;08:00;Tabela kursowa nr 45
ZK00000002;KRS000046;TK/2025/0046;2025-01-16;16:00;Tabela kursowa nr 46
ZK00000007;KRS000047;TK/2025/0047;2025-01-17;00:00;Tabela kursowa nr 47
ZK00000007;KRS000048;TK/2025/0048;2025-01-17;08:00;Tabela kursowa nr 48
ZK00000008;KRS000049;TK/2025/0049;2025-01-17;16:00;Tabela kursowa nr 49
ZK00000005;KRS000050;TK/2025/0050;2025-01-18;00:00;Tabela kursowa nr 50
ZK00000007;KRS000051;TK/2025/0051;2025-01-18;08:00;Tabela kursowa nr 51
ZK00000008;KRS000052;TK/2025/0052;2025-01-18;16:00;Tabela kursowa nr 52
ZK00000007;KRS000053;TK/2025/0053;2025-01-19;00:00;Tabela kursowa nr 53
ZK00000003;KRS000054;TK/2025/0054;2025-01-19;08:00;Tabela kursowa nr 54
ZK00000002;KRS000055;TK/2025/0055;2025-01-19;16:00;Tabela kursowa nr 55
ZK00000003;KRS000056;TK/2025/0056;2025-01-20;00:00;Tabela kursowa nr 56
ZK00000001;KRS000057;TK/2025/0057;2025-01-20;08:00;Tabela kursowa nr 57
ZK00000003;KRS000058;TK/2025/0058;2025-01-20;16:00;Tabela kursowa nr 58
ZK00000002;KRS000059;TK/2025/0059;2025-01-21;00:00;Tabela kursowa nr 59
ZK00000007;KRS000060;TK/2025/0060;2025-01-21;08:00;Tabela kursowa nr 60
ZK00000010;KRS000061;TK/2025/0061;2025-01-21;16:00;Tabela kursowa nr 61
ZK00000008;KRS000062;TK/2025/0062;2025-01-22;00:00;Tabela kursowa nr 62
ZK00000010;KRS000063;TK/2025/0063;2025-01-22;08:00;Tabela kursowa nr 63
ZK00000008;KRS000064;TK/2025/0064;2025-01-22;16:00;Tabela kursowa nr 64
ZK00000003;KRS000065;TK/2025/0065;2025-01-23;00:00;Tabela kursowa nr 65
ZK00000010;KRS000066;TK/2025/0066;2025-01-23;08:00;Tabela kursowa nr 66
ZK00000007;KRS000067;TK/2025/0067;2025-01-23;16:00;Tabela kursowa nr 67
ZK00000006;KRS000068;TK/2025/0068;2025-01-24;00:00;Tabela kursowa nr 68
ZK00000010;KRS000069;TK/2025/0069;2025-01-24;08:00;Tabela kursowa nr 69
ZK00000001;KRS000070;TK/2025/0070;2025-01-24;16:00;Tabela kursowa nr 70
ZK00000003;KRS000071;TK/2025/0071;2025-01-25;00:00;Tabela kursowa nr 71
ZK00000008;KRS000072;TK/2025/0072;2025-01-25;08:00;Tabela kursowa nr 72
ZK00000008;KRS000073;TK/2025/0073;2025-01-25;16:00;Tabela kursowa nr 73
ZK00000002;KRS000074;TK/2025/0074;2025-01-26;00:00;Tabela kursowa nr 74
