KL00001901;KRS000130;MP010;TT0007;PR000162;2026-01-06 13:03:46;WA0014;WA0007;5292.68;20724.98;0.254609;0.256144;30.77;29.87;19.35;0.58;168.65;10.52
KL00000604;KRS000219;MP001;TT0010;PR000104;2025-05-28 20:07:56;WA0015;WA0001;4140.36;4759.04;0.855689;0.884311;87.12;5.09;46.41;0.5;207.79;7.24
KL00002145;KRS000001;MP010;TT0009;PR000203;2025-04-18 23:51:06;WA0014;WA0007;5170.84;20247.87;0.252381;0.258372;147.78;5.22;64.89;0.68;129.97;18.95
KL00001587;KRS000199;MP007;TT0009;PR000006;2025-01-12 00:43:24;WA0017;WA0003;1341.87;43774.66;0.030491;0.030816;88.2;9.35;86.56;3.69;165.57;5.33
KL00001322;KRS000140;MP002;TT0008;PR000258;2025-01-19 09:10:27;WA0020;WA0005;892.27;7923.46;0.111766;0.113455;99.87;18.29;45.63;6.04;7.47;2.47
KL00002284;KRS000068;MP009;TT0001;PR000032;2026-02-17 21:46:13;WA0020;WA0018;42306.66;45714.44;0.917541;0.933368;108.81;7.72;53.07;4.56;174.19;18.88
KL00001113;KRS000066;MP007;TT0006;PR000274;2025-07-11 22:30:12;WA0018;WA0013;9636.58;45905.09;0.207717;0.212131;110.43;4.06;5.99;1.0;25.72;19.92
KL00002817;KRS000109;MP007;TT0005;PR000016;2025-11-25 09:18:45;WA0002;WA0011;7459331.06;46102.81;159.677845;163.917661;86.69;19.06;30.37;6.4;161.71;14.5
KL00000036;KRS000045;MP006;TT0004;PR000109;2025-12-13 01:51:33;WA0015;WA0004;1106.63;6423.49;0.169631;0.174924;131.17;15.83;2.31;9.92;28.69;15.73
KL00001311;KRS000026;MP004;TT0008;PR000250;2026-02-25 03:52:40;WA0007;WA0003;1332.55;14256.9;0.09296;0.093974;145.57;25.22;66.87;3.87;45.57;9.61
KL00002467;KRS000051;MP002;TT0008;PR000142;2025-07-16 02:12:15;WA0018;WA0006;76980.15;22534.19;3.364421;3.467877;5.85;19.48;61.67;4.08;44.78;10.56
KL00000058;KRS000184;MP007;TT0005;PR000226;2026-02-09 21:24:17;WA0001;WA0004;3300.88;16669.45;0.195969;0.200071;60.94;11.59;11.68;6.14;148.3;13.24
KL00001751;KRS000232;MP006;TT0005;PR000176;2025-04-08 14:10:20;WA0005;WA0009;130928.63;16771.61;7.67936;7.933766;60.29;5.24;17.87;6.06;298.22;3.24
KL00002944;KRS000070;MP001;TT0007;PR000216;2026-01-03 02:03:39;WA0001;WA0004;3126.78;15790.24;0.194844;0.201195;15.63;15.5;43.83;9.23;73.85;8.14
KL00002202;KRS000158;MP003;TT0004;PR000270;2025-06-20 03:34:15;WA0018;WA0020;28401.59;26284.38;1.075242;1.085858;53.72;26.44;42.32;5.0;129.27;11.26
KL00001765;KRS000093;MP007;TT0006;PR000045;2025-02-17 05:51:14;WA0016;WA0009;122550.43;32107.11;3.803923;3.829928;137.09;6.02;65.18;0.79;95.09;15.44
KL00000660;KRS000060;MP006;TT0001;PR000211;2025-04-24 11:16:30;WA0013;WA0002;1643.04;2709.13;0.604146;0.608817;123.29;12.38;28.54;3.9;249.25;11.71
KL00001778;KRS000201;MP001;TT0010;PR000039;2025-08-10 11:59:38;WA0003;WA0001;9723.7;2443.14;3.962641;3.997359;58.83;25.04;59.29;3.23;105.25;6.22
KL00002951;KRS000025;MP008;TT0009;PR000128;2025-01-31 10:14:03;WA0009;WA0013;1458.91;6601.62;0.217597;0.224388;73.64;8.94;75.95;6.9;242.3;0.08
KL00002649;KRS000183;MP003;TT0006;PR000162;2025-05-21 20:10:52;WA0018;WA0019;12873.09;25371.7;0.498183;0.516577;102.98;24.74;5.65;7.73;63.5;2.18
KL00001626;KRS000227;MP002;TT0001;PR000192;2025-11-07 21:59:36;WA0015;WA0002;6323.05;31397.19;0.198493;0.204285;60.6;27.23;86.45;8.13;32.5;13.38
KL00001036;KRS000009;MP001;TT0007;PR000001;2025-04-25 08:59:22;WA0009;WA0006;26864.09;7469.98;3.558434;3.634112;63.08;23.67;24.52;8.31;195.68;15.26
KL00001696;KRS000111;MP006;TT0001;PR000174;2025-04-20 04:33:58;WA0011;WA0007;1025.93;14293.95;0.070478;0.07307;100.79;7.9;8.17;4.11;51.3;7.48
KL00002348;KRS000215;MP009;TT0009;PR000181;2025-05-30 15:43:45;WA0016;WA0011;1491675.5;18021.6;81.638557;83.904514;84.14;27.69;56.38;7.38;22.5;14.47
KL00002758;KRS000247;MP009;TT0003;PR000177;2025-09-09 07:54:10;WA0008;WA0002;3405.84;40310.59;0.084133;0.084848;138.54;8.21;23.1;9.09;77.6;19.32
KL00002940;KRS000174;MP008;TT0009;PR000075;2025-08-29 09:42:22;WA0014;WA0016;1491.27;34692.1;0.042329;0.043644;131.72;1.61;99.71;8.97;283.21;2.59
KL00002607;KRS000159;MP008;TT0003;PR000202;2025-08-02 02:45:58;WA0017;WA0007;10858.22;33108.67;0.325439;0.330475;84.44;0.31;45.07;8.97;199.44;1.49
KL00000132;KRS000075;MP003;TT0010;PR000227;2026-03-11 13:11:18;WA0017;WA0006;21966.9;28989.11;0.752586;0.762942;56.89;7.79;12.11;5.02;129.98;10.12
KL00002476;KRS000222;MP003;TT0005;PR000241;2025-02-09 09:53:58;WA0017;WA0019;412.46;3664.8;0.11159;0.113502;54.56;16.91;56.79;3.61;255.34;10.58
KL00001070;KRS000090;MP007;TT0006;PR000118;2025-07-25 18:37:43;WA0004;WA0005;55522.73;49695.62;1.110104;1.124409;30.69;7.96;5.59;8.68;209.07;10.28
KL00000083;KRS000241;MP004;TT0010;PR000213;2025-06-18 11:01:04;WA0011;WA0020;1702.65;32458.54;0.052106;0.052806;139.94;16.2;78.34;9.15;257.78;12.39
KL00001936;KRS000134;MP003;TT0002;PR000108;2025-04-07 06:25:09;WA0004;WA0003;11681.18;9206.16;1.25882;1.278868;22.83;29.16;51.09;3.19;82.46;9.92
KL00002268;KRS000197;MP008;TT0008;PR000259;2026-03-30 15:32:13;WA0002;WA0016;5876.29;3006.16;1.920591;1.988911;66.59;18.65;94.7;7.21;193.35;18.65
KL00001577;KRS000104;MP003;TT0005;PR000112;2025-05-25 10:00:28;WA0007;WA0005;1763.54;21427.89;0.081443;0.083159;0.5;23.07;60.64;0.53;222.92;0.8
KL00002103;KRS000237;MP009;TT0008;PR000124;2025-12-09 19:30:38;WA0016;WA0011;681855.35;8237.8;81.158802;84.384269;28.62;17.67;43.47;8.33;119.7;16.11
KL00002127;KRS000069;MP002;TT0010;PR000154;2025-10-09 11:12:17;WA0018;WA0008;73973.99;49091.84;1.478967;1.534731;67.86;21.55;56.87;5.27;122.93;2.94
KL00002477;KRS000206;MP006;TT0002;PR000010;2025-03-20 11:29:26;WA0011;WA0020;1899.04;36202.6;0.052037;0.052875;72.25;8.52;85.23;5.43;223.59;9.88
KL00000405;KRS000058;MP004;TT0004;PR000185;2025-09-15 19:28:47;WA0003;WA0015;131519.29;28749.19;4.501306;4.648119;10.68;19.95;64.11;8.16;102.19;7.66
KL00000261;KRS000119;MP007;TT0006;PR000217;2025-03-15 22:36:54;WA0002;WA0005;5463.77;5716.72;0.953022;0.958483;3.06;1.3;49.87;4.24;200.56;15.42
KL00001462;KRS000197;MP001;TT0006;PR000268;2025-12-27 18:48:03;WA0004;WA0005;52645.88;47120.65;1.110019;1.124494;134.62;1.6;64.97;4.21;33.19;14.0
KL00001356;KRS000230;MP007;TT0010;PR000111;2026-01-21 13:01:53;WA0007;WA0006;84419.07;36536.21;2.285873;2.335245;86.33;24.84;16.78;8.7;286.81;5.74
KL00001577;KRS000234;MP009;TT0010;PR000096;2025-05-20 08:32:25;WA0016;WA0011;811351.42;9802.3;82.453491;83.08958;132.27;4.91;26.01;7.92;164.02;2.68
KL00002689;KRS000115;MP010;TT0004;PR000014;2025-12-12 13:34:20;WA0004;WA0010;19954292.01;43069.66;459.713889;466.891616;98.12;8.03;78.3;1.15;213.41;7.51
KL00001107;KRS000196;MP007;TT0003;PR000162;2026-03-23 16:58:48;WA0009;WA0007;43094.9;27687.91;1.552388;1.560515;86.2;27.97;82.87;7.66;136.79;13.3
KL00001454;KRS000163;MP007;TT0009;PR000231;2025-06-27 19:53:42;WA0011;WA0001;864.76;32388.13;0.026606;0.026794;101.09;26.87;15.61;0.89;272.82;15.81
