W00001;P00001;Dolnoslaskie
W00002;P00001;Kujawsko_Pomorskie
W00003;P00001;Lubelskie
W00004;P00001;Lubuskie
W00005;P00001;Lodzkie
W00006;P00001;Malopolskie
W00007;P00001;Mazowieckie
W00008;P00001;Opolskie
W00009;P00001;Podkarpackie
W00010;P00001;Podlaskie
W00011;P00001;Pomorskie
W00012;P00001;Slaskie
W00013;P00001;Swietokrzyskie
W00014;P00001;Warminsko_Mazurskie
W00015;P00001;Wielkopolskie
W00016;P00001;Zachodniopomorskie
W00017;P00002;Bawaria
W00018;P00002;Saksonia
W00019;P00002;Hesja
W00020;P00002;Berlin
W00021;P00002;Brandenburgia
W00022;P00002;Nadrenia
W00023;P00003;Praga
W00024;P00003;Kraj_Srodkowoczeski
W00025;P00003;Kraj_Poludniowomorawski
W00026;P00003;Kraj_Morawsko_Slaski
W00027;P00004;Bratyslawski
W00028;P00004;Koszycki
W00029;P00005;Ile_de_France
W00030;P00005;Prowansja
W00031;P00006;Katalonia
W00032;P00006;Madryt
W00033;P00007;Lacjum
W00034;P00007;Lombardia
W00035;P00008;Wieden
W00036;P00009;Budapeszt
