W00001;M00001;Wroclaw
W00001;M00002;Legnica
W00001;M00003;Walbrzych
W00002;M00004;Bydgoszcz
W00002;M00005;Torun
W00002;M00006;Wloclawek
W00003;M00007;Lublin
W00003;M00008;Zamosc
W00003;M00009;Chelm
W00004;M00010;Zielona_Gora
W00004;M00011;Gorzow_Wielkopolski
W00004;M00012;Nowa_Sol
W00005;M00013;Lodz
W00005;M00014;Piotrkow_Trybunalski
W00005;M00015;Skierniewice
W00006;M00016;Krakow
W00006;M00017;Tarnow
W00006;M00018;Nowy_Sacz
W00007;M00019;Warszawa
W00007;M00020;Radom
W00007;M00021;Plock
W00008;M00022;Opole
W00008;M00023;Nysa
W00008;M00024;Kedzierzyn_Kozle
W00009;M00025;Rzeszow
W00009;M00026;Przemysl
W00009;M00027;Krosno
W00010;M00028;Bialystok
W00010;M00029;Lomza
W00010;M00030;Suwalki
W00011;M00031;Gdansk
W00011;M00032;Gdynia
W00011;M00033;Slupsk
W00012;M00034;Katowice
W00012;M00035;Gliwice
W00012;M00036;Czestochowa
W00013;M00037;Kielce
W00013;M00038;Sandomierz
W00013;M00039;Skarzysko_Kamienna
W00014;M00040;Olsztyn
W00014;M00041;Elblag
W00014;M00042;Ilawa
W00015;M00043;Poznan
W00015;M00044;Kalisz
W00015;M00045;Konin
W00016;M00046;Szczecin
W00016;M00047;Koszalin
W00016;M00048;Swinoujscie
W00017;M00049;Monachium
W00017;M00050;Norymberga
W00017;M00051;Augsburg
W00018;M00052;Drezno
W00018;M00053;Lipsk
W00018;M00054;Chemnitz
W00019;M00055;Frankfurt_nad_Menem
W00019;M00056;Wiesbaden
W00019;M00057;Darmstadt
W00020;M00058;Berlin
W00021;M00059;Poczdam
W00021;M00060;Cottbus
W00021;M00061;Brandenburg
W00022;M00062;Kolonia
W00022;M00063;Dusseldorf
W00022;M00064;Bonn
W00023;M00065;Praga
W00024;M00066;Kladno
W00024;M00067;Mlada_Boleslav
W00024;M00068;Kolin
W00025;M00069;Brno
W00025;M00070;Znojmo
W00025;M00071;Hodonin
W00026;M00072;Ostrawa
W00026;M00073;Opawa
W00026;M00074;Karvina
W00027;M00075;Bratyslawa
W00028;M00076;Koszyce
W00028;M00077;Preszow
W00028;M00078;Spisska_Nova_Ves
W00029;M00079;Paryz
W00029;M00080;Boulogne
W00029;M00081;Versailles
W00030;M00082;Marsylia
W00030;M00083;Nicea
W00030;M00084;Awinion
W00031;M00085;Barcelona
W00031;M00086;Girona
W00031;M00087;Tarragona
W00032;M00088;Madryt
W00032;M00089;Getafe
W00032;M00090;Leganes
W00033;M00091;Rzym
W00033;M00092;Latina
W00033;M00093;Frosinone
W00034;M00094;Mediolan
W00034;M00095;Bergamo
W00034;M00096;Brescia
W00035;M00097;Wieden
W00036;M00098;Budapeszt
W00036;M00099;Vac
W00036;M00100;Szentendre
W00008;M00101;Opole_Nowe_Miasto
W00018;M00102;Drezno_Polnoc
W00009;M00103;Krosno_Centrum
W00035;M00104;Wieden_Zachod
W00028;M00105;Koszyce_Centrum
W00006;M00106;Krakow_Polnoc
W00033;M00107;Frosinone_Centrum
W00036;M00108;Budapeszt_Nowe_Miasto
W00035;M00109;Wieden_Polnoc
W00029;M00110;Versailles_Poludnie
W00001;M00111;Wroclaw_Nowe_Miasto
W00028;M00112;Preszow_Poludnie
W00010;M00113;Bialystok_Stare_Miasto
W00022;M00114;Kolonia_Centrum
W00025;M00115;Brno_Poludnie
W00023;M00116;Praga_Stare_Miasto
W00003;M00117;Chelm_Wschod
W00035;M00118;Wieden_Wschod
W00006;M00119;Nowy_Sacz_Poludnie
W00024;M00120;Kolin_Polnoc
