U00293;TO000001;OD000001;Kantor_1;109;34;23-025;704478193;oddzial1@kantor.pl;08:00;20:00
U00149;TO000001;OD000002;Kantor_2;14;13;44-768;586401528;oddzial2@kantor.pl;08:00;20:00
U00294;TO000001;OD000003;Kantor_3;65;4;98-803;658452385;oddzial3@kantor.pl;08:00;20:00
U00209;TO000001;OD000004;Kantor_4;139;29;23-630;862670264;oddzial4@kantor.pl;08:00;20:00
U00576;TO000001;OD000005;Kantor_5;58;36;59-243;774299320;oddzial5@kantor.pl;08:00;20:00
U00295;TO000001;OD000006;Kantor_6;13;;59-426;867836441;oddzial6@kantor.pl;08:00;20:00
U00321;TO000001;OD000007;Kantor_7;142;48;42-207;833161520;oddzial7@kantor.pl;08:00;20:00
U00454;TO000001;OD000008;Kantor_8;58;;92-376;815886974;oddzial8@kantor.pl;08:00;20:00
U00560;TO000001;OD000009;Kantor_9;51;13;47-459;595254800;oddzial9@kantor.pl;08:00;20:00
U00700;TO000001;OD000010;Kantor_10;20;12;75-122;702506759;oddzial10@kantor.pl;08:00;20:00
U00042;TO000001;OD000011;Kantor_11;110;17;26-164;813525127;oddzial11@kantor.pl;08:00;20:00
U00262;TO000001;OD000012;Kantor_12;2;46;29-040;582518874;oddzial12@kantor.pl;08:00;20:00
U00331;TO000001;OD000013;Kantor_13;14;41;88-863;855349603;oddzial13@kantor.pl;08:00;20:00
U00309;TO000001;OD000014;Kantor_14;126;36;55-074;879933645;oddzial14@kantor.pl;08:00;20:00
U00326;TO000001;OD000015;Kantor_15;135;12;76-069;771195161;oddzial15@kantor.pl;08:00;20:00
U00164;TO000001;OD000016;Kantor_16;107;26;21-357;618754815;oddzial16@kantor.pl;08:00;20:00
U00219;TO000001;OD000017;Kantor_17;85;19;37-973;831936871;oddzial17@kantor.pl;08:00;20:00
U00544;TO000001;OD000018;Kantor_18;122;;93-009;561590877;oddzial18@kantor.pl;08:00;20:00
